GEO_ID,Name,Population,Margin_Of_Error
1500000US060855021011,Block Group 1; Census Tract 5021.01; Santa Clara County; California,1601,557
1500000US060855021012,Block Group 2; Census Tract 5021.01; Santa Clara County; California,1011,242
1500000US060855021013,Block Group 3; Census Tract 5021.01; Santa Clara County; California,2351,383
1500000US060855021031,Block Group 1; Census Tract 5021.03; Santa Clara County; California,2097,626
1500000US060855021032,Block Group 2; Census Tract 5021.03; Santa Clara County; California,2108,475
1500000US060855021041,Block Group 1; Census Tract 5021.04; Santa Clara County; California,1656,354
1500000US060855021042,Block Group 2; Census Tract 5021.04; Santa Clara County; California,864,217
1500000US060855022021,Block Group 1; Census Tract 5022.02; Santa Clara County; California,1101,308
1500000US060855022022,Block Group 2; Census Tract 5022.02; Santa Clara County; California,1079,385
1500000US060855022023,Block Group 3; Census Tract 5022.02; Santa Clara County; California,816,278
1500000US060855022031,Block Group 1; Census Tract 5022.03; Santa Clara County; California,1804,310
1500000US060855022032,Block Group 2; Census Tract 5022.03; Santa Clara County; California,2117,556
1500000US060855022041,Block Group 1; Census Tract 5022.04; Santa Clara County; California,1751,458
1500000US060855022042,Block Group 2; Census Tract 5022.04; Santa Clara County; California,1249,658
1500000US060855023011,Block Group 1; Census Tract 5023.01; Santa Clara County; California,1664,369
1500000US060855023012,Block Group 2; Census Tract 5023.01; Santa Clara County; California,1359,235
1500000US060855023021,Block Group 1; Census Tract 5023.02; Santa Clara County; California,1117,304
1500000US060855023022,Block Group 2; Census Tract 5023.02; Santa Clara County; California,2300,575
1500000US060855024001,Block Group 1; Census Tract 5024; Santa Clara County; California,701,280
1500000US060855024002,Block Group 2; Census Tract 5024; Santa Clara County; California,858,526
1500000US060855024003,Block Group 3; Census Tract 5024; Santa Clara County; California,584,318
1500000US060855024004,Block Group 4; Census Tract 5024; Santa Clara County; California,863,324
1500000US060855024005,Block Group 5; Census Tract 5024; Santa Clara County; California,1576,398
1500000US060855024006,Block Group 6; Census Tract 5024; Santa Clara County; California,1521,395
1500000US060855024007,Block Group 7; Census Tract 5024; Santa Clara County; California,1086,427
1500000US060855025001,Block Group 1; Census Tract 5025; Santa Clara County; California,841,288
1500000US060855025002,Block Group 2; Census Tract 5025; Santa Clara County; California,1068,369
1500000US060855025003,Block Group 3; Census Tract 5025; Santa Clara County; California,954,393
1500000US060855025004,Block Group 4; Census Tract 5025; Santa Clara County; California,743,270
1500000US060855025005,Block Group 5; Census Tract 5025; Santa Clara County; California,2082,965
1500000US060855025006,Block Group 6; Census Tract 5025; Santa Clara County; California,912,368
1500000US060855026011,Block Group 1; Census Tract 5026.01; Santa Clara County; California,622,208
1500000US060855026012,Block Group 2; Census Tract 5026.01; Santa Clara County; California,1298,731
1500000US060855026013,Block Group 3; Census Tract 5026.01; Santa Clara County; California,1183,256
1500000US060855026031,Block Group 1; Census Tract 5026.03; Santa Clara County; California,792,208
1500000US060855026032,Block Group 2; Census Tract 5026.03; Santa Clara County; California,1035,274
1500000US060855026033,Block Group 3; Census Tract 5026.03; Santa Clara County; California,1055,297
1500000US060855026041,Block Group 1; Census Tract 5026.04; Santa Clara County; California,1501,538
1500000US060855026042,Block Group 2; Census Tract 5026.04; Santa Clara County; California,725,308
1500000US060855026043,Block Group 3; Census Tract 5026.04; Santa Clara County; California,1846,443
1500000US060855027011,Block Group 1; Census Tract 5027.01; Santa Clara County; California,1382,362
1500000US060855027012,Block Group 2; Census Tract 5027.01; Santa Clara County; California,2487,753
1500000US060855027013,Block Group 3; Census Tract 5027.01; Santa Clara County; California,1801,370
1500000US060855027031,Block Group 1; Census Tract 5027.03; Santa Clara County; California,1105,287
1500000US060855027032,Block Group 2; Census Tract 5027.03; Santa Clara County; California,1383,335
1500000US060855027033,Block Group 3; Census Tract 5027.03; Santa Clara County; California,1728,323
1500000US060855027041,Block Group 1; Census Tract 5027.04; Santa Clara County; California,1649,420
1500000US060855027042,Block Group 2; Census Tract 5027.04; Santa Clara County; California,1390,375
1500000US060855027043,Block Group 3; Census Tract 5027.04; Santa Clara County; California,1313,348
1500000US060855028001,Block Group 1; Census Tract 5028; Santa Clara County; California,1230,398
1500000US060855028002,Block Group 2; Census Tract 5028; Santa Clara County; California,1707,361
1500000US060855028003,Block Group 3; Census Tract 5028; Santa Clara County; California,1480,333
1500000US060855029011,Block Group 1; Census Tract 5029.01; Santa Clara County; California,2362,813
1500000US060855029012,Block Group 2; Census Tract 5029.01; Santa Clara County; California,1195,405
1500000US060855029013,Block Group 3; Census Tract 5029.01; Santa Clara County; California,992,320
1500000US060855029014,Block Group 4; Census Tract 5029.01; Santa Clara County; California,1650,691
1500000US060855029021,Block Group 1; Census Tract 5029.02; Santa Clara County; California,2859,1048
1500000US060855029022,Block Group 2; Census Tract 5029.02; Santa Clara County; California,2654,746
1500000US060855029023,Block Group 3; Census Tract 5029.02; Santa Clara County; California,3605,816
1500000US060855029031,Block Group 1; Census Tract 5029.03; Santa Clara County; California,1995,342
1500000US060855029032,Block Group 2; Census Tract 5029.03; Santa Clara County; California,1642,461
1500000US060855029033,Block Group 3; Census Tract 5029.03; Santa Clara County; California,1704,315
1500000US060855029061,Block Group 1; Census Tract 5029.06; Santa Clara County; California,1358,419
1500000US060855029062,Block Group 2; Census Tract 5029.06; Santa Clara County; California,1548,310
1500000US060855029063,Block Group 3; Census Tract 5029.06; Santa Clara County; California,1792,488
1500000US060855029071,Block Group 1; Census Tract 5029.07; Santa Clara County; California,1483,271
1500000US060855029072,Block Group 2; Census Tract 5029.07; Santa Clara County; California,2328,434
1500000US060855029081,Block Group 1; Census Tract 5029.08; Santa Clara County; California,2441,463
1500000US060855029082,Block Group 2; Census Tract 5029.08; Santa Clara County; California,2229,565
1500000US060855029083,Block Group 3; Census Tract 5029.08; Santa Clara County; California,1741,504
1500000US060855029091,Block Group 1; Census Tract 5029.09; Santa Clara County; California,1062,314
1500000US060855029092,Block Group 2; Census Tract 5029.09; Santa Clara County; California,813,253
1500000US060855029093,Block Group 3; Census Tract 5029.09; Santa Clara County; California,1458,523
1500000US060855029094,Block Group 4; Census Tract 5029.09; Santa Clara County; California,1522,363
1500000US060855029101,Block Group 1; Census Tract 5029.10; Santa Clara County; California,1040,270
1500000US060855029102,Block Group 2; Census Tract 5029.10; Santa Clara County; California,814,379
