Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_WalkTime,Total_PublicTransitTime,Shape_Length
Block Group 1; Census Tract 5112; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,44,1,1,,,334.833,33984.917
Block Group 3; Census Tract 5067.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,45,1,1,,,199.667,12614.228
Block Group 2; Census Tract 5067.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,46,1,1,,,214.833,12998.242
Block Group 2; Census Tract 5065.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,47,1,1,,,199.667,9482.626
Block Group 5; Census Tract 5068.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,48,1,1,,,154.667,13539.065
Block Group 2; Census Tract 5029.06; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,49,1,1,,,139.667,12657.571
Block Group 1; Census Tract 5120.26; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,50,1,1,,,79.667,11756.355
Block Group 4; Census Tract 5120.21; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,51,1,1,,,94.667,12904.38
Block Group 1; Census Tract 5123.12; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,52,1,1,,,334.833,39008.331
Block Group 1; Census Tract 5120.39; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,53,1,1,,,94.667,15098.551
Block Group 2; Census Tract 5120.26; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,54,1,1,,,64.667,12676.072
Block Group 1; Census Tract 5120.22; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,55,1,1,,,79.667,13578.268
Block Group 1; Census Tract 5120.25; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,56,1,1,,,94.667,11285.449
Block Group 2; Census Tract 5120.52; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,57,1,1,,,94.667,12663.94
Block Group 1; Census Tract 5120.38; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,58,1,1,,,139.667,18448.412
Block Group 1; Census Tract 5031.16; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,59,1,1,,,109.667,9095.298
Block Group 1; Census Tract 5031.11; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,60,1,1,,,169.667,4480.267
Block Group 2; Census Tract 5126.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,61,1,1,,,515.167,57664.608
Block Group 1; Census Tract 5125.09; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,62,1,1,,,545.167,60017.629
Block Group 1; Census Tract 5126.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,63,1,1,,,515.167,57763.363
Block Group 4; Census Tract 5085.08; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,64,1,1,,,289.833,13638.718
Block Group 2; Census Tract 5023.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,65,1,1,,,184.667,5267.687
Block Group 3; Census Tract 5120.53; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,66,1,1,,,94.667,13933.441
Block Group 2; Census Tract 5031.22; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,67,1,1,,,169.667,4300.919
Block Group 1; Census Tract 5017; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,68,1,1,,,184.667,1456.758
Block Group 3; Census Tract 5120.45; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,69,1,1,,,79.667,15178.861
Block Group 1; Census Tract 5054.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,70,1,1,,,289.833,10945.234
Block Group 2; Census Tract 5054.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,71,1,1,,,304.833,11522.588
Block Group 3; Census Tract 5054.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,72,1,1,,,304.833,12204.91
Block Group 1; Census Tract 5055; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,73,1,1,,,274.833,8380.944
Block Group 3; Census Tract 5068.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,74,1,1,,,169.667,14052.624
Block Group 3; Census Tract 5068.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,75,1,1,,,139.667,13385.768
Block Group 2; Census Tract 5068.03; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,76,1,1,,,154.667,14100.645
Block Group 1; Census Tract 5068.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,77,1,1,,,184.667,14980.538
Block Group 2; Census Tract 5068.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,78,1,1,,,169.667,14953.698
Block Group 3; Census Tract 5075; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,79,1,1,,,274.833,17612.457
Block Group 1; Census Tract 5081.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,80,1,1,,,319.833,15258.516
Block Group 3; Census Tract 5081.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,81,1,1,,,319.833,15536.139
Block Group 1; Census Tract 5081.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,82,1,1,,,304.833,13161.08
Block Group 2; Census Tract 5055; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,83,1,1,,,274.833,9265.46
Block Group 3; Census Tract 5056; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,84,1,1,,,259.833,7161.364
Block Group 1; Census Tract 5057; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,85,1,1,,,274.833,8094.22
